film_oscar_award_id,year,film_id,oscar_award_type_id,oscar_award_category_id
3818,1974,1508,2,12
3819,1974,1508,2,17
3820,1974,1509,2,12
3821,1974,1510,2,12
3822,1974,1511,2,17
3823,1974,1512,2,6
3824,1974,1512,2,15
3825,1974,1512,2,17
3826,1974,1513,2,1
3827,1974,1513,1,2
3828,1974,1513,2,4
3829,1974,1513,1,5
3830,1974,1513,1,6
3831,1974,1513,2,8
3832,1974,1513,1,9
3833,1974,1513,1,12
3834,1974,1513,1,17
3835,1974,1514,1,8
3836,1974,1514,1,12
3837,1974,1515,2,5
3838,1974,1516,2,12
3839,1974,1516,2,13
3840,1974,1517,2,10
3841,1974,1518,2,2
3842,1974,1518,2,5
3843,1974,1518,2,6
3844,1974,1518,1,7
3845,1974,1518,1,10
3846,1974,1518,2,12
3847,1974,1518,1,13
3848,1974,1518,2,15
3849,1974,1519,2,2
3850,1974,1520,2,15
3851,1974,1520,2,17
3852,1975,1521,2,9
3853,1975,1521,2,17
3854,1975,1522,2,17
3855,1975,1523,1,5
3856,1975,1523,2,6
3857,1975,1523,1,7
3858,1975,1523,1,8
3859,1975,1523,2,9
3860,1975,1523,1,12
3861,1975,1523,2,17
3862,1975,1524,2,12
3863,1975,1525,2,12
3864,1975,1525,2,15
3865,1975,1526,2,1
3866,1975,1526,2,2
3867,1975,1526,2,6
3868,1975,1526,2,9
3869,1975,1526,2,10
3870,1975,1526,1,17
3871,1975,1527,2,4
3872,1975,1528,2,7
3873,1975,1528,2,8
3874,1975,1528,2,12
3875,1975,1528,2,13
3876,1975,1528,2,15
3877,1975,1529,2,1
3878,1975,1530,2,3
3879,1975,1531,2,3
3880,1975,1532,2,4
3881,1975,1533,2,6
3882,1975,1533,1,10
3883,1975,1533,1,12
3884,1975,1533,1,15
3885,1975,1534,2,17
3886,1975,1535,2,13
3887,1975,1536,2,4
3888,1975,1536,2,6
3889,1975,1536,2,9
3890,1975,1536,1,13
3891,1975,1537,1,1
3892,1975,1537,2,2
3893,1975,1537,1,3
3894,1975,1537,1,6
3895,1975,1537,2,7
3896,1975,1537,1,9
3897,1975,1537,2,10
3898,1975,1537,2,12
3899,1975,1537,1,17
3900,1975,1538,2,17
3901,1975,1539,2,2
3902,1975,1539,1,4
3903,1975,1539,2,5
3904,1975,1539,2,17
3905,1975,1540,2,2
3906,1975,1540,2,7
3907,1975,1541,2,8
3908,1975,1542,2,5
3909,1975,1542,2,7
3910,1975,1542,1,14
3911,1975,1542,2,15
3912,1975,1542,1,16
3913,1975,1543,2,8
3914,1975,1544,2,1
3915,1975,1545,2,5
3916,1975,1545,2,8
3917,1975,1545,2,10
3918,1975,1545,2,17
3919,1975,1546,2,13
3920,1975,1547,2,3
3921,1975,1548,2,1
3922,1975,1548,1,2
3923,1975,1548,2,5
3924,1975,1548,2,17
3925,1975,1549,2,12
3926,1975,1549,2,15
3927,1975,1550,2,10
3928,1975,1551,2,3
3929,1975,1551,2,12
3930,1975,1552,2,13
3931,1976,1553,2,7
3932,1976,1553,2,12
3933,1976,1553,1,13
3934,1976,1553,2,15
3935,1976,1554,1,2
3936,1976,1554,2,4
3937,1976,1554,1,5
3938,1976,1554,2,6
3939,1976,1554,2,9
3940,1976,1554,2,10
3941,1976,1554,1,15
3942,1976,1554,1,17
3943,1976,1555,2,6
3944,1976,1555,1,7
3945,1976,1555,2,8
3946,1976,1555,2,10
3947,1976,1555,1,12
3948,1976,1555,2,17
3949,1976,1556,2,12
3950,1976,1557,2,3
3951,1976,1557,2,4
3952,1976,1558,2,3
3953,1976,1558,2,17
3954,1976,1559,2,3
3955,1976,1559,2,9
3956,1976,1560,1,8
3957,1976,1560,2,17
