"","Year","Nominee","actor in a leading role","actor in a supporting role","actress in a leading role","actress in a supporting role","art direction","best picture","cinematography","costume design","directing","film editing","makeup","music (score)","music (song)","sound editing","sound mixing","visual effects","writing","writing (adapted screenplay)","writing (original screenplay)"
"203","1939","Stagecoach","0","1","0","0","2","2","2","0","2","2","0","1","0","0","0","0","0","0","0"
"204","1939","Swanee River","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"205","1939","The Great Victor Herbert","0","0","0","0","0","0","2","0","0","0","0","2","0","0","2","0","0","0","0"
"206","1939","The Hunchback of Notre Dame","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"207","1939","The Man in the Iron Mask","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"208","1939","The Mikado","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"209","1939","The Private Lives of Elizabeth and Essex","0","0","0","0","2","0","2","0","0","0","0","2","0","0","2","0","0","0","0"
"210","1939","The Rains Came","0","0","0","0","2","0","2","0","0","2","0","2","0","0","2","0","0","0","0"
"211","1939","The Wizard of Oz","0","0","0","0","2","2","2","0","0","0","0","1","1","0","0","0","0","0","0"
"212","1939","They Shall Have Music","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"213","1939","Way Down South","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"214","1939","When Tomorrow Comes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"215","1939","Wuthering Heights","2","0","0","2","2","2","1","0","2","0","0","2","0","0","0","0","2","0","0"
"216","1939","Young Mr. Lincoln","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"217","1940","Abe Lincoln in Illinois","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"218","1940","All This, and Heaven Too","0","0","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"219","1940","Angels over Broadway","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"220","1940","Arise, My Love","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","1","0","0"
"221","1940","Arizona","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"222","1940","Behind the News","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"223","1940","Bitter Sweet","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"224","1940","Boom Town","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"225","1940","Captain Caution","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"226","1940","Comrade X","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"227","1940","Down Argentine Way","0","0","0","0","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0"
"228","1940","Dr. Ehrlich's Magic Bullet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"229","1940","Edison, the Man","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"230","1940","Foreign Correspondent","0","2","0","0","2","2","2","0","0","0","0","0","0","0","0","0","2","0","0"
"231","1940","Hit Parade of 1941","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"232","1940","Irene","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"233","1940","Kitty Foyle","0","0","1","0","0","2","0","0","2","0","0","0","0","0","2","0","2","0","0"
"234","1940","Lillian Russell","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","1940","Music in My Heart","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"236","1940","My Favorite Wife","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","2","0","0"
"237","1940","My Son, My Son!","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","1940","North West Mounted Police","0","0","0","0","2","0","2","0","0","1","0","2","0","0","2","0","0","0","0"
"239","1940","Northwest Passage","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"240","1940","One Million B.C.","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"241","1940","Our Town","0","0","2","0","2","2","0","0","0","0","0","2","0","0","2","0","0","0","0"
"242","1940","Pinocchio","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"243","1940","Pride and Prejudice","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"244","1940","Primrose Path","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"245","1940","Rebecca","2","0","2","2","2","1","1","0","2","2","0","2","0","0","0","0","2","0","0"
