"","Year","pictures","Best_Picture","Best_Editing","Best_Directing","Best_Actor","Best_Supporting_Actor","Best_Actress","Best_Supporting_Actress","Best_Sound","Best_Song"
"347",1995,"Braveheart","1","0","1","0","0","0","0","0","0"
"348",1995,"Dead Man Walking","0","0","0","0","0","1","0","0","0"
"349",1995,"Leaving Las Vegas","0","0","0","1","0","0","0","0","0"
"350",1995,"Mighty Aphrodite","0","0","0","0","0","0","1","0","0"
"351",1995,"Pocahontas","0","0","0","0","0","0","0","0","1"
"352",1995,"The Usual Suspects","0","0","0","0","1","0","0","0","0"
"353",1996,"Evita","0","0","0","0","0","0","0","0","1"
"354",1996,"Fargo","0","0","0","0","0","1","0","0","0"
"355",1996,"Jerry Maguire","0","0","0","0","1","0","0","0","0"
"356",1996,"Shine","0","0","0","1","0","0","0","0","0"
"357",1996,"The English Patient","1","1","1","0","0","0","1","1","0"
"358",1997,"As Good as It Gets","0","0","0","1","0","1","0","0","0"
"359",1997,"Good Will Hunting","0","0","0","0","1","0","0","0","0"
"360",1997,"L.A. Confidential","0","0","0","0","0","0","1","0","0"
"361",1997,"Titanic","1","1","1","0","0","0","0","1","1"
"362",1998,"Affliction","0","0","0","0","1","0","0","0","0"
"363",1998,"Life Is Beautiful","0","0","0","1","0","0","0","0","0"
"364",1998,"Saving Private Ryan","0","1","1","0","0","0","0","1","0"
"365",1998,"Shakespeare in Love","1","0","0","0","0","1","1","0","0"
"366",1998,"The Prince of Egypt","0","0","0","0","0","0","0","0","1"
"367",1999,"American Beauty","1","0","1","1","0","0","0","0","0"
"368",1999,"Boys Don't Cry","0","0","0","0","0","1","0","0","0"
"369",1999,"Girl, Interrupted","0","0","0","0","0","0","1","0","0"
"370",1999,"Tarzan","0","0","0","0","0","0","0","0","1"
"371",1999,"The Cider House Rules","0","0","0","0","1","0","0","0","0"
"372",1999,"The Matrix","0","1","0","0","0","0","0","1","0"
"373",2000,"Erin Brockovich","0","0","0","0","0","1","0","0","0"
"374",2000,"Gladiator","1","0","0","1","0","0","0","1","0"
"375",2000,"Pollock","0","0","0","0","0","0","1","0","0"
"376",2000,"Traffic","0","1","1","0","1","0","0","0","0"
"377",2000,"Wonder Boys","0","0","0","0","0","0","0","0","1"
"378",2001,"A Beautiful Mind","1","0","1","0","0","0","1","0","0"
"379",2001,"Black Hawk Down","0","1","0","0","0","0","0","1","0"
"380",2001,"Iris","0","0","0","0","1","0","0","0","0"
"381",2001,"Monster's Ball","0","0","0","0","0","1","0","0","0"
"382",2001,"Monsters, Inc.","0","0","0","0","0","0","0","0","1"
"383",2001,"Training Day","0","0","0","1","0","0","0","0","0"
"384",2002,"8 Mile","0","0","0","0","0","0","0","0","1"
"385",2002,"Adaptation","0","0","0","0","1","0","0","0","0"
"386",2002,"Chicago","1","1","0","0","0","0","1","1","0"
"387",2002,"The Hours","0","0","0","0","0","1","0","0","0"
"388",2002,"The Pianist","0","0","1","1","0","0","0","0","0"
"389",2003,"Cold Mountain","0","0","0","0","0","0","1","0","0"
"390",2003,"Monster","0","0","0","0","0","1","0","0","0"
"391",2003,"Mystic River","0","0","0","1","1","0","0","0","0"
